veg_id,name,type,pic_url,description,price,shop id
1,tomato,Organic,https://en.wikipedia.org/wiki/File:Farmer%27s_Market_I.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",5.99,1
2,tomato,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_tomatoes_on_the_vine_at_Ljubljana_Central_Market.JPG,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",2.99,1
3,tomato,Organic,https://en.wikipedia.org/wiki/File:Farmer%27s_Market_I.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",4.99,2
4,tomato,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_tomatoes_on_the_vine_at_Ljubljana_Central_Market.JPG,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",3.99,2
5,tomato,Organic,https://en.wikipedia.org/wiki/File:Farmer%27s_Market_I.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",7.99,3
6,tomato,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_tomatoes_on_the_vine_at_Ljubljana_Central_Market.JPG,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",6.99,3
7,tomato,Organic,https://en.wikipedia.org/wiki/File:Farmer%27s_Market_I.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",3.99,4
8,tomato,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_tomatoes_on_the_vine_at_Ljubljana_Central_Market.JPG,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",2.99,4
9,tomato,Organic,https://en.wikipedia.org/wiki/File:Farmer%27s_Market_I.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",9.99,5
10,tomato,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_tomatoes_on_the_vine_at_Ljubljana_Central_Market.JPG,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",5.99,5
11,tomato,Organic,https://en.wikipedia.org/wiki/File:Farmer%27s_Market_I.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",13.99,6
12,tomato,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_tomatoes_on_the_vine_at_Ljubljana_Central_Market.JPG,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",9.99,6
13,tomato,Organic,https://en.wikipedia.org/wiki/File:Farmer%27s_Market_I.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",7.99,7
14,tomato,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_tomatoes_on_the_vine_at_Ljubljana_Central_Market.JPG,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",2.99,7
15,tomato,Organic,https://en.wikipedia.org/wiki/File:Farmer%27s_Market_I.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",9.99,8
16,tomato,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_tomatoes_on_the_vine_at_Ljubljana_Central_Market.JPG,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",5.99,8
17,carrot,Organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Carrots_at_Ljubljana_Central_Market.JPG/440px-Carrots_at_Ljubljana_Central_Market.JPG,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",3.45,1
18,carrot,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_carrotes_on_the_vine_at_Ljubljana_Central_Market.JPG,"The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",4.45,1
19,carrot,Organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Carrots_at_Ljubljana_Central_Market.JPG/440px-Carrots_at_Ljubljana_Central_Market.JPG,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",2.45,2
20,carrot,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_carrotes_on_the_vine_at_Ljubljana_Central_Market.JPG,"The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",1.45,2
21,carrot,Organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Carrots_at_Ljubljana_Central_Market.JPG/440px-Carrots_at_Ljubljana_Central_Market.JPG,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",6.45,3
22,carrot,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_carrotes_on_the_vine_at_Ljubljana_Central_Market.JPG,"The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",3.45,3
23,carrot,Organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Carrots_at_Ljubljana_Central_Market.JPG/440px-Carrots_at_Ljubljana_Central_Market.JPG,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",5.45,4
24,carrot,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_carrotes_on_the_vine_at_Ljubljana_Central_Market.JPG,"The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",4.45,4
25,carrot,Organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Carrots_at_Ljubljana_Central_Market.JPG/440px-Carrots_at_Ljubljana_Central_Market.JPG,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",9.45,5
26,carrot,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_carrotes_on_the_vine_at_Ljubljana_Central_Market.JPG,"The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",5.45,5
27,carrot,Organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Carrots_at_Ljubljana_Central_Market.JPG/440px-Carrots_at_Ljubljana_Central_Market.JPG,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",4.45,6
28,carrot,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_carrotes_on_the_vine_at_Ljubljana_Central_Market.JPG,"The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",6.45,6
29,carrot,Organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Carrots_at_Ljubljana_Central_Market.JPG/440px-Carrots_at_Ljubljana_Central_Market.JPG,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",2.45,7
30,carrot,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_carrotes_on_the_vine_at_Ljubljana_Central_Market.JPG,"The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",3.45,7
31,carrot,Organic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Carrots_at_Ljubljana_Central_Market.JPG/440px-Carrots_at_Ljubljana_Central_Market.JPG,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",6.45,8
32,carrot,Non-Organic,https://en.wikipedia.org/wiki/File:Grape_carrotes_on_the_vine_at_Ljubljana_Central_Market.JPG,"The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",1.45,8
33,onion,Organic,https://en.wikipedia.org/wiki/File:Mixed_onions.jpg,"The onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.",5.63,1
34,onion,Non-Organic,https://en.wikipedia.org/wiki/File:ARS_red_onion.jpg,"This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (Allium fistulosum), the tree onion (A. × proliferum), and the Canada onion (Allium canadense).",4.63,1
